fecha,entidad,municipio,enfrentamientos,mil_mu,civ_mu,vic_mu,mil_her,civ_her,vic_her,civ_det,year,month,day
11-Jan-07,TAMAULIPAS,NUEVO LAREDO,1,1,0,0,1,0,0,0,2007,1,11
13-Jan-07,GUANAJUATO,IRAPUATO,1,0,1,0,0,2,0,0,2007,1,13
2-Feb-07,SINALOA,CULIACAN,1,2,0,0,0,0,0,0,2007,2,2
4-Feb-07,ZACATECAS,TLALTENANGO,1,0,0,0,0,2,0,0,2007,2,4
4-Feb-07,SINALOA,SALVADOR ALVARADO,1,0,0,0,0,0,0,0,2007,2,4
14-Feb-07,DISTRITO FEDERAL,S/D,1,0,0,0,0,0,0,0,2007,2,14
15-Feb-07,NUEVO LEON,LINARES,1,0,0,0,0,0,0,0,2007,2,15
2-Mar-07,NUEVO LEON,CERRALVO,1,0,0,0,1,0,0,0,2007,3,2
10-Mar-07,SONORA,ESPERANZA,1,0,0,0,0,0,0,0,2007,3,10
24-Mar-07,QUERETARO,QUERETARO,1,0,3,0,0,0,0,0,2007,3,24
3-Apr-07,OAXACA,MIAHUATLAN,1,0,0,0,0,0,0,0,2007,4,3
27-Apr-07,DURANGO,TAMAZULA,1,0,0,0,0,0,0,0,2007,4,27
1-May-07,MICHOACAN,CARACUARO,1,5,1,0,3,0,0,0,2007,5,1
1-May-07,DURANGO,SAN DIMAS,1,0,0,0,0,0,0,3,2007,5,1
1-May-07,DURANGO,CINCO DE MAYO,1,0,0,0,1,1,0,0,2007,5,1
5-May-07,SINALOA,CULIACAN,1,0,1,0,0,0,0,0,2007,5,5
7-May-07,MICHOACAN,APATZINGAN,1,0,4,0,1,0,0,8,2007,5,7
9-May-07,OAXACA,SANTA MARÍA,1,0,1,0,0,0,0,0,2007,5,9
10-May-07,SINALOA,CHOIX,1,0,3,0,0,0,0,0,2007,5,10
10-May-07,OAXACA,COPALITA,1,0,1,0,0,1,0,0,2007,5,10
20-May-07,TAMAULIPAS,REYNOSA,1,0,0,0,0,0,0,0,2007,5,20
20-May-07,MICHOACAN,APATZINGAN,1,0,0,0,0,0,0,2,2007,5,20
23-May-07,VERACRUZ,VEGA DE LA TORRE,1,0,0,0,0,0,0,0,2007,5,23
31-May-07,SINALOA,SAN IGNACIO,1,1,1,0,1,1,0,0,2007,5,31
31-May-07,NUEVO LEON,CADEREYTA DE JIMENEZ,1,0,0,0,0,1,0,0,2007,5,31
9-Jun-07,NUEVO LEON,MONTEMORELOS,1,0,0,0,0,1,0,0,2007,6,9
20-Jun-07,TAMAULIPAS,MATAMOROS,1,0,0,0,2,0,0,0,2007,6,20
20-Jun-07,TAMAULIPAS,MATAMOROS,1,0,0,0,0,0,0,0,2007,6,20
27-Jul-07,TAMAULIPAS,CAMARGO,1,0,0,0,0,0,0,2,2007,7,27
